Reading data from file
5 categories: [5.1, 3.5, 1.4, 0.2, Iris-setosa]
Read 0 instances
Reading data from file
5 categories: [5.0, 3.0, 1.6, 0.2, Iris-setosa]
Read 0 instances
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-setosa ==> Predicted instance: Iris-setosa
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-virginica
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-versicolor ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-versicolor
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
Given instance: Iris-virginica ==> Predicted instance: Iris-virginica
KNN Success rate: 92.0 ==> 69/75 With a K value = 1
